,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
167,249190190,MAKÓW PODHALAÑSKI,2012,1,13,6.8,,-1.3,,1.8,,0.0,8.0,11.8,,,0,8.0
168,249190190,MAKÓW PODHALAÑSKI,2012,1,14,0.0,,-3.2,,-1.6,,0.0,8.0,3.4,,,0,8.0
169,249190190,MAKÓW PODHALAÑSKI,2012,1,15,-2.2,,-3.6,,-3.0,,0.0,8.0,6.4,,,0,8.0
170,249190190,MAKÓW PODHALAÑSKI,2012,1,16,-3.1,,-7.6,,-5.4,,0.0,8.0,1.8,,,0,8.0
171,249190190,MAKÓW PODHALAÑSKI,2012,1,17,-2.1,,-6.0,,-4.2,,0.0,8.0,1.1,,,0,8.0
172,249190190,MAKÓW PODHALAÑSKI,2012,1,18,-1.3,,-8.6,,-5.2,,0.0,8.0,1.2,,,0,8.0
173,249190190,MAKÓW PODHALAÑSKI,2012,1,19,1.6,,-9.8,,-2.0,,0.0,8.0,3.0,,,0,8.0
174,249190190,MAKÓW PODHALAÑSKI,2012,1,20,5.0,,-1.6,,0.4,,0.0,8.0,0.1,,,0,8.0
175,249190190,MAKÓW PODHALAÑSKI,2012,1,21,2.2,,-2.9,,-1.1,,0.0,8.0,6.3,,,0,8.0
176,249190190,MAKÓW PODHALAÑSKI,2012,1,22,3.3,,-2.0,,1.1,,0.0,8.0,6.5,,,0,8.0
177,249190190,MAKÓW PODHALAÑSKI,2012,1,23,3.4,,-0.2,,1.7,,0.0,8.0,0.1,,,0,8.0
178,249190190,MAKÓW PODHALAÑSKI,2012,1,24,2.1,,-1.0,,-0.1,,0.0,8.0,0.6,,,0,8.0
179,249190190,MAKÓW PODHALAÑSKI,2012,1,25,-0.7,,-3.5,,-2.4,,0.0,8.0,0.0,,,0,8.0
180,249190190,MAKÓW PODHALAÑSKI,2012,1,26,-3.0,,-5.8,,-4.6,,0.0,8.0,0.0,9.0,,0,8.0
181,249190190,MAKÓW PODHALAÑSKI,2012,1,27,-5.8,,-12.6,,-10.5,,0.0,8.0,0.0,9.0,,0,8.0
182,249190190,MAKÓW PODHALAÑSKI,2012,1,28,0.9,,-14.9,,-9.5,,0.0,8.0,0.0,9.0,,0,8.0
183,249190190,MAKÓW PODHALAÑSKI,2012,1,29,-7.9,,-15.8,,-13.3,,0.0,8.0,0.0,9.0,,0,8.0
184,249190190,MAKÓW PODHALAÑSKI,2012,1,30,-6.8,,-21.7,,-16.1,,0.0,8.0,0.0,9.0,,0,8.0
